,CelebName,CelebImageURL,Description,CelebImage
0, Aamir Khan,"https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World's Biggest Superstar. He went through rapid transformations in his body structure for his films to bring out the reality factor in his ...                ,"[[[177 184 163]
  [174 179 158]
  [163 159 140]
  ...
  [129  95  72]
  [129  95  72]
  [129  95  72]]

 [[173 180 159]
  [171 173 153]
  [156 152 133]
  ...
  [129  95  72]
  [129  95  72]
  [129  95  72]]

 [[171 176 155]
  [165 167 147]
  [149 145 126]
  ...
  [129  95  72]
  [129  95  72]
  [129  95  72]]

 ...

 [[124 181 206]
  [120 177 202]
  [113 170 195]
  ...
  [ 11  14  12]
  [ 11  14  12]
  [ 11  14  12]]

 [[118 175 201]
  [118 177 203]
  [115 174 200]
  ...
  [ 11  14  12]
  [ 11  14  12]
  [ 11  14  12]]

 [[121 176 203]
  [117 172 199]
  [112 168 193]
  ...
  [ 12  13  11]
  [ 12  13  11]
  [ 12  13  11]]]"
1, Akshay Kumar,"https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY209_CR13,0,140,209_AL_.jpg","Akshay Kumar, born September 9, 1967, is an actor. He studied martial arts in Hong Kong. It was a student that suggested that he try modeling. Because of his success as model, he was offered films. Along with his good looks and excellent martial art skills, he was always the first choice to do ...                ","[[[131 123  94]
  [131 123  94]
  [131 123  94]
  ...
  [137 131 102]
  [137 131 102]
  [137 131 102]]

 [[131 123  94]
  [131 123  94]
  [131 123  94]
  ...
  [137 131 102]
  [137 131 102]
  [137 131 102]]

 [[132 124  95]
  [132 124  95]
  [132 124  95]
  ...
  [138 132 103]
  [138 132 103]
  [138 132 103]]

 ...

 [[ 82  84  92]
  [ 80  82  90]
  [ 73  75  83]
  ...
  [116 108  79]
  [116 108  79]
  [116 108  79]]

 [[ 81  84  92]
  [ 85  88  96]
  [ 78  81  89]
  ...
  [115 107  78]
  [115 107  78]
  [115 107  78]]

 [[ 75  83  90]
  [ 84  92  99]
  [ 83  89  96]
  ...
  [113 105  75]
  [113 105  75]
  [113 105  75]]]"
2, Ajay Devgn,"https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY209_CR6,0,140,209_AL_.jpg","Ajay Devgn is an Indian film actor, director, and producer. He made his film debut with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance in the film. He then starred in films such as Jigar (1992), Dilwale (1994), Suhaag (1994), Naajayaz (1995), Diljale ...                ","[[[138 117  96]
  [138 117  96]
  [138 117  96]
  ...
  [136 139 113]
  [135 138 112]
  [134 137 111]]

 [[139 118  97]
  [139 118  97]
  [139 118  97]
  ...
  [137 140 114]
  [136 139 113]
  [135 138 112]]

 [[140 119  98]
  [140 119  98]
  [140 119  98]
  ...
  [139 142 116]
  [137 140 114]
  [136 139 113]]

 ...

 [[ 17  21  10]
  [ 17  23  12]
  [ 39  45  34]
  ...
  [ 75  49  37]
  [ 15   6   0]
  [  2   3   0]]

 [[ 40  41  31]
  [ 15  19   8]
  [ 30  34  23]
  ...
  [ 90  61  47]
  [ 24  12   2]
  [  5   2   0]]

 [[ 81  80  70]
  [ 16  15   5]
  [ 17  16   6]
  ...
  [128 101  81]
  [ 35  19  12]
  [ 11   2   0]]]"
3, Amjad Khan,"https://m.media-amazon.com/images/M/MV5BOWUzNjU3YTUtOGIyMi00MDk3LTk1NDMtMzY4MDZlNDFhNTFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR73,0,140,209_AL_.jpg","Amjad Khan was born on November 12, 1940 in Hyderabad, Hyderabad State, British India. He was an actor and director, known for Sholay (1975), Yaarana (1981) and Maa Kasam (1985). He was married to Shaila Khan. He died on July 27, 1992 in Bombay, Maharashtra, India.                ","[[[243 242 255]
  [245 239 255]
  [253 237 254]
  ...
  [245 231 242]
  [230 216 228]
  [227 213 225]]

 [[247 247 255]
  [250 245 255]
  [255 244 255]
  ...
  [251 235 246]
  [249 232 245]
  [255 239 252]]

 [[246 246 255]
  [251 247 255]
  [255 247 255]
  ...
  [255 242 255]
  [255 238 251]
  [255 242 255]]

 ...

 [[ 47  38  34]
  [ 47  38  34]
  [ 47  38  34]
  ...
  [175 158 162]
  [172 157 161]
  [159 144 148]]

 [[ 47  38  34]
  [ 47  38  34]
  [ 48  39  35]
  ...
  [175 160 164]
  [170 155 159]
  [152 138 142]]

 [[ 57  48  44]
  [ 57  48  44]
  [ 55  46  42]
  ...
  [165 151 155]
  [181 167 171]
  [136 125 128]]]"
4, Amitabh Bachchan,"https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY209_CR6,0,140,209_AL_.jpg","Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He has a brother named Ajitabh. He completed his education from Uttar Pradesh and moved to Bombay to find work as a film star, in vain though, as film-makers preferred someone with a fairer skin, and he was not quite fair enough. But ...                ","[[[142 238 254]
  [147 242 255]
  [158 246 255]
  ...
  [ 53  90  82]
  [ 53  90  82]
  [ 53  90  82]]

 [[134 232 250]
  [140 236 252]
  [151 241 255]
  ...
  [ 50  90  79]
  [ 52  89  81]
  [ 50  90  79]]

 [[122 223 245]
  [129 228 248]
  [139 234 254]
  ...
  [ 46  89  76]
  [ 48  88  77]
  [ 46  89  76]]

 ...

 [[  4   0   0]
  [  4   0   0]
  [  4   0   0]
  ...
  [  4   0   0]
  [  2   0   0]
  [  2   0   0]]

 [[  2   0   0]
  [  2   0   0]
  [  2   0   0]
  ...
  [  2   0   0]
  [  2   0   0]
  [  2   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]"
5, Amol Palekar,"https://m.media-amazon.com/images/M/MV5BNzZhNDQ1YzItNTVlOC00MmVmLTkzMjEtMDFmN2Q0MDU2YmQ3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR21,0,140,209_AL_.jpg","Amol Palekar was born on November 24, 1944 in Bombay, Bombay Presidency, British India. He is an actor and director, known for Kairee (1999), Bangarwadi (1995) and Gol Maal (1979).                ","[[[228 222 233]
  [228 222 233]
  [228 222 233]
  ...
  [214 218 229]
  [214 218 229]
  [214 218 229]]

 [[228 222 233]
  [228 222 233]
  [228 222 233]
  ...
  [214 218 229]
  [214 218 229]
  [214 218 229]]

 [[228 222 233]
  [228 222 233]
  [228 222 233]
  ...
  [214 218 229]
  [214 218 229]
  [214 218 229]]

 ...

 [[203 210 227]
  [195 202 219]
  [185 192 209]
  ...
  [240 249 255]
  [238 247 255]
  [235 243 255]]

 [[203 210 227]
  [195 202 219]
  [184 191 208]
  ...
  [242 252 255]
  [239 248 255]
  [236 245 255]]

 [[194 201 218]
  [205 212 229]
  [187 194 211]
  ...
  [243 252 255]
  [241 249 255]
  [235 242 251]]]"
6, Abhay Deol,"https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_UX140_CR0,0,140,209_AL_.jpg","Abhay Deol (born in 1976, India) is an Indian film actor. He is the nephew of famous veteran actor Dharmendra and cousin of actors Sunny Deol and Bobby Deol and actress Esha Deol. After graduating from Mumbai University, Abhay headed to Los Angeles and studied Fine Arts. After completing a two year...                ","[[[38 37 47]
  [37 36 46]
  [35 37 45]
  ...
  [ 8  7  9]
  [ 8  7  9]
  [ 8  7  9]]

 [[38 37 47]
  [35 37 45]
  [35 37 45]
  ...
  [ 8  7  9]
  [ 8  7  9]
  [ 8  7  9]]

 [[36 38 46]
  [35 38 43]
  [35 38 43]
  ...
  [ 8  7  9]
  [ 8  7  9]
  [ 8  7  9]]

 ...

 [[15 15 15]
  [15 15 15]
  [16 16 16]
  ...
  [20 22 23]
  [20 22 23]
  [20 22 23]]

 [[15 15 15]
  [15 15 15]
  [16 16 16]
  ...
  [20 22 23]
  [20 22 23]
  [20 22 23]]

 [[15 15 15]
  [15 15 15]
  [16 16 16]
  ...
  [20 22 23]
  [21 23 24]
  [22 24 25]]]"
7, Akshaye Khanna,"https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY209_CR87,0,140,209_AL_.jpg","Akshaye Khanna was born in Mumbai in 1975. He is the middle son of Bollywood actor and politician Vinod Khanna, and the younger brother of actor Rahul Khanna.After studying in Kishore Namit Kapoor Acting Institute in Mumbai, Khanna made his acting debut in Bollywood in 1997 with the movie Himalay ...                ","[[[15 14 16]
  [15 14 16]
  [14 13 15]
  ...
  [11 12 10]
  [11 12 10]
  [11 12 10]]

 [[15 14 16]
  [15 14 16]
  [14 13 15]
  ...
  [11 12 10]
  [11 12 10]
  [11 12 10]]

 [[15 14 16]
  [15 14 16]
  [14 13 15]
  ...
  [11 12 10]
  [11 12 10]
  [11 12 10]]

 ...

 [[12 10  9]
  [12 10  9]
  [12 10  9]
  ...
  [18 78 90]
  [21 81 93]
  [20 80 92]]

 [[12 10  9]
  [12 10  9]
  [12 10  9]
  ...
  [22 81 91]
  [20 78 90]
  [10 69 79]]

 [[12 10  9]
  [12 10  9]
  [12 10  9]
  ...
  [10 67 76]
  [ 2 56 67]
  [ 0 48 58]]]"
8, Arshad Warsi,"https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg","Arshad Warsi was born in Mumbai, India, and did his schooling at a boarding school, Barnes School, Deolali in Nashik district, Maharashtra. He was orphaned at the age of 14 and struggled for a living in Mumbai during his early days.Financial circumstances forced Warsi to start work as a door-to-door...                ","[[[213 205 198]
  [213 205 198]
  [214 206 199]
  ...
  [206 200 195]
  [206 200 195]
  [206 200 195]]

 [[213 205 198]
  [213 205 198]
  [214 206 199]
  ...
  [207 201 196]
  [207 201 196]
  [207 201 196]]

 [[213 205 198]
  [213 205 198]
  [214 206 199]
  ...
  [207 201 196]
  [207 201 196]
  [207 201 196]]

 ...

 [[ 32  31  27]
  [ 32  31  27]
  [ 32  31  27]
  ...
  [ 25  23  22]
  [ 27  25  24]
  [ 29  27  26]]

 [[ 32  31  27]
  [ 32  32  26]
  [ 32  31  27]
  ...
  [ 24  22  21]
  [ 26  24  23]
  [ 28  26  25]]

 [[ 29  29  23]
  [ 30  31  22]
  [ 32  32  26]
  ...
  [ 26  27  25]
  [ 28  29  27]
  [ 29  30  28]]]"
9, Anushka Shetty,"https://m.media-amazon.com/images/M/MV5BZTkxYmU1NmUtNGE4Ni00OWNmLWE5YzktNTJiZTlmMTIyMTM5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR1,0,140,209_AL_.jpg",Anushka Shetty is an Indian Film Actress. She was also a Yoga Instructor and has trained under yoga guru Bharat Thakur.This tall and gorgeous beauty debuted in the 2005 Telugu film Super starring Nagarjuna which was super hit at box office. Later her performance in Vikramarkudu make her noticeable....                ,"[[[192 208 185]
  [192 208 185]
  [192 208 185]
  ...
  [ 97  97 243]
  [ 89  86 232]
  [ 87  84 229]]

 [[192 208 185]
  [192 208 185]
  [192 208 185]
  ...
  [ 92  92 240]
  [ 87  84 230]
  [ 88  85 230]]

 [[192 208 185]
  [192 208 185]
  [192 208 185]
  ...
  [ 85  85 233]
  [ 85  82 228]
  [ 88  85 231]]

 ...

 [[211 178 152]
  [224 189 169]
  [211 172 163]
  ...
  [ 16  11  10]
  [ 18  13  12]
  [ 19  14  13]]

 [[218 192 162]
  [217 186 163]
  [217 182 172]
  ...
  [ 13   5   5]
  [ 15   7   7]
  [ 18  10  10]]

 [[224 202 177]
  [216 195 173]
  [198 177 162]
  ...
  [ 13   3   3]
  [ 13   3   3]
  [ 14   4   4]]]"
10, Atul Kulkarni,"https://m.media-amazon.com/images/M/MV5BY2E1ODI1MGUtYWY1ZS00ZDdlLTg0ZDctNWU1NmJhM2UxYzU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg","Atul Kulkarni was born on September 10, 1965 in Karnataka, India. He is an actor, known for Rang De Basanti (2006), Hey Ram (2000) and Page 3 (2005).                ","[[[ 37  48  38]
  [ 36  47  37]
  [ 36  47  37]
  ...
  [189 176 162]
  [199 183 170]
  [208 192 179]]

 [[ 35  46  36]
  [ 34  45  35]
  [ 34  45  35]
  ...
  [168 155 141]
  [178 165 151]
  [191 175 162]]

 [[ 31  42  32]
  [ 31  42  32]
  [ 31  42  32]
  ...
  [142 130 118]
  [153 139 127]
  [161 147 135]]

 ...

 [[ 61  26  30]
  [ 58  23  27]
  [ 57  22  26]
  ...
  [ 89  45  51]
  [ 93  47  53]
  [ 94  48  54]]

 [[ 63  28  32]
  [ 59  24  28]
  [ 56  21  25]
  ...
  [ 89  46  49]
  [ 93  47  53]
  [ 94  49  52]]

 [[ 64  28  34]
  [ 63  27  33]
  [ 62  26  32]
  ...
  [ 93  51  52]
  [ 97  52  55]
  [ 98  54  55]]]"
